SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_1,'Boreion akron',-6.08,54.00
urn:cite:ptolemy:lonlat.pt_ll_2,'Ouenniknion akron',-4.76,54.24
urn:cite:ptolemy:lonlat.pt_ll_3,'Ouidoua potamou ekbolai',-4.64,54.00
urn:cite:ptolemy:lonlat.pt_ll_4,'Argita potamou ekbolai',-3.56,54.36
urn:cite:ptolemy:lonlat.pt_ll_5,'Rhobogdion akron',-2.24,54.36
urn:cite:ptolemy:lonlat.pt_ll_6,'to Boreion akron',-6.08,54.00
urn:cite:ptolemy:lonlat.pt_ll_7,'Rhaouiou potamou ekbolai',-5.84,53.76
urn:cite:ptolemy:lonlat.pt_ll_8,'Magnata polis [episēmos]',-5.9,53.46
urn:cite:ptolemy:lonlat.pt_ll_9,'Libniou potamou ekbolai',-6.44,53.28
urn:cite:ptolemy:lonlat.pt_ll_10,'Ausoba potamou ekbolai',-6.44,52.92
urn:cite:ptolemy:lonlat.pt_ll_11,'Sēnou potamou ekbolai',-7.16,52.92
urn:cite:ptolemy:lonlat.pt_ll_12,'Dour potamou ekbolai',-7.04,52.32
urn:cite:ptolemy:lonlat.pt_ll_13,'Iernou potamou ekbolai',-8.24,51.84
urn:cite:ptolemy:lonlat.pt_ll_14,'Notion akron',-8.48,51.66
urn:cite:ptolemy:lonlat.pt_ll_15,'Meta to Notion akron, ho estin',-8.48,51.66
urn:cite:ptolemy:lonlat.pt_ll_16,'Dabrōna potamou ekbolai',-5.9,51.12
urn:cite:ptolemy:lonlat.pt_ll_17,'Birgou potamou ekbolai',-5.0,51.48
urn:cite:ptolemy:lonlat.pt_ll_18,'Hieron akron.',-3.92,51.72
urn:cite:ptolemy:lonlat.pt_ll_19,'to Hieron akron',-3.92,51.72
urn:cite:ptolemy:lonlat.pt_ll_20,'Modonnou potamou ekbolai',-4.16,52.32
urn:cite:ptolemy:lonlat.pt_ll_21,'Manapia polis',-4.28,52.32
urn:cite:ptolemy:lonlat.pt_ll_22,'Oboka potamou ekbolai',-4.52,52.56
urn:cite:ptolemy:lonlat.pt_ll_23,'Eblana polis',-3.92,52.92
urn:cite:ptolemy:lonlat.pt_ll_24,'Bououinda potamou ekbolai',-3.44,53.04
urn:cite:ptolemy:lonlat.pt_ll_25,'Isamnion [akron]',-3.2,53.28
urn:cite:ptolemy:lonlat.pt_ll_26,'Ouinderios potamou ekbolai',-3.2,53.46
urn:cite:ptolemy:lonlat.pt_ll_27,'Logia potamou ekbolai',-2.96,53.76
urn:cite:ptolemy:lonlat.pt_ll_28,'Rhēgia',-4.64,53.52
urn:cite:ptolemy:lonlat.pt_ll_29,'Rhaiba',-5.36,53.10
urn:cite:ptolemy:lonlat.pt_ll_30,'Labēros',-4.64,52.74
urn:cite:ptolemy:lonlat.pt_ll_31,'Makolikon',-5.72,52.32
urn:cite:ptolemy:lonlat.pt_ll_32,'Rhēgia hetera',-6.08,52.92
urn:cite:ptolemy:lonlat.pt_ll_33,'Dounon',-5.0,52.38
urn:cite:ptolemy:lonlat.pt_ll_34,'Iouernis',-6.08,51.96
urn:cite:ptolemy:lonlat.pt_ll_35,'Aibouda',-3.2,54.72
urn:cite:ptolemy:lonlat.pt_ll_5143,'Aibouda',-2.72,54.72
urn:cite:ptolemy:lonlat.pt_ll_36,'Rhikina',-1.76,54.72
urn:cite:ptolemy:lonlat.pt_ll_37,'Malaios',-1.4,55.08
urn:cite:ptolemy:lonlat.pt_ll_38,'Epidion',-0.68,54.72
urn:cite:ptolemy:lonlat.pt_ll_39,'Monaoida',-1.28,54.36
urn:cite:ptolemy:lonlat.pt_ll_40,'Mona nēsos',-3.2,51.60
